品类名称,已完成订单,商品GMV,平均商品价格,平均运费占比,平均评价得分
健康美容,8647,1233131.72,130.28333016376124,0.199082154886987,4.189729135644899
手表礼品,5495,1166176.98,199.04027649769583,0.1317155237718192,4.071711092003439
床上用品与家居布艺,9272,1023434.76,93.43876198301837,0.2029765793692338,3.923968239313083
运动休闲,7530,954852.55,113.25495789348832,0.2035487981830595,4.165492957746479
电脑配件,6530,888724.61,116.26433935112506,0.2030478212181719,3.986461619348055
家具装饰,6307,711927.6900000001,87.24604044117648,0.2323934735783397,3.953774752475248
家居用品,5743,615628.69,90.60024871228843,0.2518536983149802,4.107904085257549
创意用品,3559,610204.1,164.12159763313608,0.1632235073465836,4.194903767958796
汽车用品,3810,578966.65,139.84701690821257,0.2148078693089955,4.116003903391071
玩具,3804,471286.48,116.94453598014888,0.1898793684345934,4.208927231807952
园艺工具,3448,470495.28,110.23788191190252,0.2307189153143423,4.084316037735849
婴儿用品,2809,400421.84,134.27962441314554,0.2051214155493777,4.0782358905035485
香水,3086,390144.65,116.8097754491018,0.1829840835094827,4.219735656353259
手机通讯,4093,309860.23,69.94587584650112,0.3009415785264082,3.9943233424159854
办公家具,1254,268154.31,160.7639748201439,0.2047349115496756,3.5133010882708584
文具,2264,223788.69,90.74967153284672,0.2166202675550337,4.245818033455732
电脑,177,218684.14,1098.9152763819095,0.0517954660070364,4.219387755102041
宠物用品,1688,211695.64,110.02891891891892,0.2065943233084533,4.216710182767624
乐器,611,184315.74,283.12709677419355,0.1735584680854069,4.221705426356589
小家电,609,182754.12,277.74182370820665,0.1795139595914849,4.225114854517611
未分类,1392,170726.63,111.07783344176968,0.212971077428435,3.938688524590164
电子产品,2517,155043.93,56.81345914254305,0.3585064092837841,4.067158671586716
箱包配饰,1820,149329.39,75.22891183879094,0.2294985405812941,4.1936708860759495
游戏机与游戏,1018,148003.37,135.90759412304865,0.2366781893925555,4.13855421686747
建筑工具,736,142108.49,155.14027292576418,0.2041276551989706,4.090010976948409
箱包旅行配件,1019,138701.63,128.78517177344474,0.1955736832256038,4.352283317800559
大型家用电器,227,107953.95,467.3331168831169,0.1489845223160241,4.156521739130435
家装建材,483,81407.57,136.58988255033557,0.1895864426486198,3.95777027027027
家用电器,747,78832.48,104.55236074270556,0.2519847320636597,4.222148246782068
农业与商业,177,70566.1,342.55388349514567,0.1752444585364901,4.087378640776699
客厅家具,414,67350.7,136.0620202020202,0.2329457915212594,3.934693877551021
家居舒适用品,392,58008.45,135.21783216783217,0.1600678309738618,3.8548009367681497
固定电话设备,212,55315.21,216.92239215686277,0.2351268423229359,3.757936507936508
空调,246,53323.56,184.5105882352941,0.1593234185772302,4.052816901408451
音频设备,348,50570.6,139.69779005524862,0.207845825664414,3.8365921787709496
家用烤箱与咖啡小家电,72,46589.56,638.2131506849315,0.1230201286960486,4.438356164383562
厨房餐厅洗衣及户外家具,241,45531.98,166.1751094890511,0.2415441998120144,4.033088235294118
通识图书,496,45302.15,84.36154562383614,0.235886576595308,4.512195121951219
照明工具,242,39957.0,132.74750830564784,0.1909878673562719,4.082191780821918
安全防护工具,159,38773.22,211.87551912568307,0.1659719299461152,3.967032967032967
工商用品,232,38498.81,145.27852830188678,0.2063853050192391,4.125954198473282
食品,441,28731.15,57.57745490981964,0.2368778678634227,4.262833675564682
综合市场商品,274,27795.77,91.13367213114756,0.2226049539443425,4.072607260726072
园艺施工工具,190,25096.28,108.17362068965517,0.2653174281626276,4.116379310344827
艺术品,195,23657.3,120.08781725888323,0.1969582687052897,4.082051282051282
鞋履,235,23001.46,89.49984435797666,0.213815785506445,4.290513833992095
饮料,287,21529.84,59.6394459833795,0.2643804216372134,4.119113573407202
标识与安防,138,21315.05,108.1982233502538,0.2864425829265625,4.091836734693878
卧室家具,90,19051.8,184.9689320388349,0.2266996719882927,4.252427184466019
技术图书,256,18702.23,71.11114068441064,0.2355186981060895,4.3893129770992365
通用施工工具,97,15903.95,154.40728155339806,0.2340305357305273,4.444444444444445
食品与饮料,221,14942.88,55.54973977695167,0.3012322538791749,4.366171003717472
男装,106,10452.33,83.61864,0.1981440031639795,3.758064516129033
内衣与泳装,117,9305.95,73.27519685039371,0.2408906341842892,4.047619047619048
圣诞用品,125,8737.84,58.25226666666667,0.3368596437845535,4.06993006993007
平板电脑与打印影像,79,7528.41,90.70373493975904,0.1668062438752017,4.1234567901234565
影视摄影,63,6674.47,95.34957142857144,0.2349658252111697,4.285714285714286
音乐,38,6034.35,158.79868421052632,0.244945837436127,4.2105263157894735
DVD与蓝光,56,4542.59,74.46868852459016,0.4057713514101001,4.180327868852459
派对用品,38,4465.1900000000005,106.31404761904764,0.241269220959522,3.8333333333333335
进口图书,50,4418.86,77.5238596491228,0.1836974064414159,4.508771929824562
床垫与软装,37,4323.38,116.84810810810812,0.2988917351049985,3.891891891891892
便携厨房与食品加工设备,13,3933.63,280.97357142857146,0.2471157680922069,3.4285714285714284
女装,36,2634.94,58.55422222222222,0.211117514080509,3.933333333333333
运动时尚,26,2094.52,72.2248275862069,0.2219528250228568,4.344827586206897
厨房用品,13,2054.99,146.785,0.1519160612138911,4.0
手工艺品,23,1814.01,75.58375,0.2417231614097061,4.125
尿布与卫生用品,25,1500.79,40.56189189189189,0.2846374355989023,3.3783783783783785
游戏电脑,7,1306.95,163.36875,0.091586930553653,3.625
鲜花,29,1110.04,33.63757575757575,0.3390997762377745,4.419354838709677
家居舒适用品（二）,24,760.27,25.34233333333333,0.4585644323356948,3.6296296296296298
音乐CD与DVD,12,730.0,52.142857142857146,0.2274966278445936,4.642857142857143
童装,7,519.95,74.27857142857144,0.1471192147445919,5.0
安保与服务,2,283.29,141.64499999999998,0.1285451071651252,2.5
