priority_rank,cohort_month,rfm_segment,priority_tier,recommended_journey,buyers,target_customers,repeat_buyers,repeat_buyer_rate,completed_orders,merchandise_gmv,target_customer_gmv,average_customer_gmv,average_recency_days,average_review_score,cohort_buyer_share,cohort_gmv_share,observable_followup_months,targeting_eligible,evaluation_eligible
1,2017-11,at_risk,1,win_back_service_recovery,2702,2702,104,0.0384900074019245,2807,719732.08,719732.08,266.3701258327165,283.66284233900814,3.9053524804177546,0.38271954674220965,0.7255481830676981,9,True,True
2,2018-03,high_value,1,second_purchase_high_value_offer,2660,2660,0,0.0,2660,693554.82,693554.82,260.7348947368421,167.02067669172934,3.725824800910125,0.3926778860348391,0.7324469858809429,5,True,True
3,2018-04,high_value,1,second_purchase_high_value_offer,2649,2649,0,0.0,2649,713443.72,713443.72,269.32567761419403,135.88448471121177,4.142421934501143,0.402461257976299,0.7414520489037787,4,True,True
4,2018-05,high_value,1,second_purchase_high_value_offer,2570,2570,0,0.0,2570,709258.24,709258.24,275.97596887159534,107.9284046692607,4.138780297107115,0.39501998155548723,0.7358335454611928,3,True,True
5,2018-01,high_value,1,second_purchase_high_value_offer,2514,2514,0,0.0,2514,642241.56,642241.56,255.4660143198091,225.26770087509945,4.013226452905812,0.3674364220988015,0.6968445196025292,7,True,True
6,2018-02,high_value,1,second_purchase_high_value_offer,2281,2281,0,0.0,2281,561321.97,561321.97,246.0859140727751,195.29899167032005,3.7794962439239947,0.36275445292620867,0.6781780826424486,6,True,True
7,2017-12,high_value,1,second_purchase_high_value_offer,1699,1699,0,0.0,1699,417997.72000000003,417997.72000000003,246.0257327839906,257.3896409652737,4.0,0.31828400149868863,0.579326774819527,8,True,True
8,2017-10,at_risk,1,win_back_service_recovery,1681,1681,81,0.04818560380725759,1765,482291.79,482291.79,286.9076680547293,316.9446757882213,4.156006006006006,0.3884011090573013,0.7396499842467055,10,True,True
9,2017-09,at_risk,1,win_back_service_recovery,1574,1574,101,0.06416772554002541,1681,459840.16000000003,459840.16000000003,292.1474968233799,347.08195679796694,4.26360544217687,0.3931068931068931,0.7490998188356542,11,True,True
10,2017-08,at_risk,1,win_back_service_recovery,1522,1522,110,0.07227332457293036,1640,403988.75,403988.75,265.4328186596583,376.6695137976347,4.289072847682119,0.3751540547202366,0.7134464326941058,12,True,True
11,2017-07,at_risk,1,win_back_service_recovery,1431,1431,105,0.07337526205450734,1546,345037.27,345037.27,241.11619147449338,407.020964360587,4.188786735816438,0.3813965884861407,0.703100861537674,13,True,True
12,2017-05,at_risk,1,win_back_service_recovery,1320,1320,124,0.09393939393939393,1457,369128.55,369128.55,279.6428409090909,465.19166666666666,4.234680905161454,0.38249782671689364,0.7345714319146541,15,True,True
13,2017-06,at_risk,1,win_back_service_recovery,1112,1112,103,0.09262589928057553,1222,312387.95,312387.95,280.9244154676259,436.353417266187,4.192661241711875,0.3661508067171551,0.7191777952059012,14,True,True
