order_month,completed_orders,merchandise_gmv,active_buyers,average_order_value
2016-09,1,134.97,1,134.97
2016-10,265,40325.11,262,152.17022641509433
2016-12,1,10.9,1,10.9
2017-01,750,111798.36,718,149.06448
2017-02,1653,234223.4,1630,141.69594676346037
2017-03,2546,359198.85,2508,141.0836017282011
2017-04,2303,340669.68,2274,147.9243074250977
2017-05,3546,489338.25,3479,137.99725042301185
2017-06,3135,421923.37,3076,134.58480701754385
2017-07,3872,481604.52,3802,124.3813326446281
2017-08,4193,554699.7,4114,132.29184354877174
2017-09,4150,607399.67,4083,146.36136626506024
2017-10,4478,648247.65,4417,144.76276239392587
2017-11,7289,987765.37,7183,135.51452462614898
2017-12,5513,726033.1900000001,5450,131.694756031199
2018-01,7069,924645.0,6974,130.80280096194653
2018-02,6555,826437.13,6400,126.0773653699466
2018-03,7003,953356.25,6914,136.13540625446237
2018-04,6798,973534.09,6744,143.2088982053545
2018-05,6749,977544.6900000001,6693,144.84289376203884
2018-06,6099,856077.86,6061,140.36364322020003
2018-07,6159,867953.46,6100,140.9244130540672
2018-08,6351,838576.64,6310,132.03851991812314
