优先级排名,卖家ID,卖家州,客户州,已完成订单,延迟订单,延迟订单商品GMV,延迟交付率,建议行动
1,4a3ca9315b744ce9f8e9374361493884,SP,SP,800,58,6268.45,0.0725,复核承运线路容量与路由
2,1f50f920176fa81dab994f9023523100,SP,RJ,219,55,3435.7,0.2511415525114155,复核承运线路容量与路由
3,4a3ca9315b744ce9f8e9374361493884,SP,RJ,267,51,6076.2,0.1910112359550561,复核承运线路容量与路由
4,6560211a19b47992c3666cc44a7e94c0,SP,SP,799,43,2774.0,0.0538172715894868,复核承运线路容量与路由
5,4869f7a5dfa277a7dca6462dcf3b52b2,SP,RJ,201,40,7211.7,0.1990049751243781,复核承运线路容量与路由
6,7c67e1448b00f6e969d365cea6b010ab,SP,SP,389,36,5215.47,0.0925449871465295,复核卖家发货SLA
7,620c87c171fb2a6dd6e8bb4dec959fc6,RJ,SP,244,35,5005.5,0.1434426229508196,复核承运线路容量与路由
8,8b321bb669392f5163d04c59e235e066,SP,RJ,134,34,583.5,0.2537313432835821,复核承运线路容量与路由
9,1025f0e2d44d7041d6cf58b6550e0bfa,SP,SP,321,32,4107.9,0.0996884735202492,复核卖家发货SLA
10,06a2c3af7b3aee5d69171b0e14f0ee87,MA,SP,124,31,2974.65,0.25,复核承运线路容量与路由
11,da8622b14eb17ae2831f4ac5b9dab84a,SP,RJ,167,31,3476.7000000000003,0.18562874251497,复核承运线路容量与路由
12,4869f7a5dfa277a7dca6462dcf3b52b2,SP,SP,444,29,5838.9,0.0653153153153153,复核承运线路容量与路由
13,7c67e1448b00f6e969d365cea6b010ab,SP,RJ,175,27,5486.96,0.1542857142857142,复核卖家发货SLA
14,955fee9216a65b617aa5c0531780ce60,SP,SP,633,27,2507.67,0.0426540284360189,复核承运线路容量与路由
15,ea8482cd71df3c1969d7b9473ff13abc,SP,SP,415,26,875.34,0.0626506024096385,复核卖家发货SLA
16,955fee9216a65b617aa5c0531780ce60,SP,RJ,102,22,2342.08,0.2156862745098039,复核承运线路容量与路由
17,6560211a19b47992c3666cc44a7e94c0,SP,RJ,183,22,1341.0,0.1202185792349726,复核承运线路容量与路由
18,7a67c85e85bb2ce8582c35f2203ad736,SP,SP,363,22,2757.78,0.0606060606060606,复核承运线路容量与路由
19,e9779976487b77c6d4ac45f75ec7afe9,SP,SP,381,22,1438.64,0.0577427821522309,复核卖家发货SLA
20,1f50f920176fa81dab994f9023523100,SP,SP,499,21,1363.0,0.0420841683366733,复核承运线路容量与路由
21,da8622b14eb17ae2831f4ac5b9dab84a,SP,SP,717,21,3122.5,0.0292887029288702,复核卖家发货SLA
22,4a3ca9315b744ce9f8e9374361493884,SP,MG,229,20,2766.84,0.0873362445414847,复核承运线路容量与路由
23,7d13fca15225358621be4086e1eb0964,SP,RJ,94,19,4083.78,0.202127659574468,复核承运线路容量与路由
24,16090f2ca825584b5a147ab24aa30c86,SP,SP,221,19,1331.97,0.085972850678733,复核承运线路容量与路由
25,d91fb3b7d041e83b64a00a3edfb37e4f,SP,SP,239,19,1183.97,0.0794979079497908,复核卖家发货SLA
26,1025f0e2d44d7041d6cf58b6550e0bfa,SP,RJ,99,18,2615.5,0.1818181818181818,复核承运线路容量与路由
27,3d871de0142ce09b7081e2b9d1733cb1,SP,RJ,164,18,2050.6,0.1097560975609756,复核承运线路容量与路由
28,1900267e848ceeba8fa32d80c1a5f5a8,SP,RJ,73,17,1019.71,0.2328767123287671,复核承运线路容量与路由
29,ea8482cd71df3c1969d7b9473ff13abc,SP,RJ,83,17,445.82,0.2048192771084337,复核承运线路容量与路由
30,7a67c85e85bb2ce8582c35f2203ad736,SP,RJ,148,17,2474.83,0.1148648648648648,复核承运线路容量与路由
31,4e922959ae960d389249c378d1c939f5,SP,SP,161,17,2004.85,0.1055900621118012,复核卖家发货SLA
