客户州,已完成订单,商品GMV,延迟订单,平均送达天数,延迟交付率,平均评价得分
SP,40501,5067633.16,2387,8.35503425627491,0.0589368163749043,4.246550625315555
RJ,12350,1759651.13,1664,14.92425147478524,0.1347368421052631,3.965140720115743
MG,11354,1552481.83,637,11.592873704633623,0.0561035758323057,4.19246787771378
BA,3256,493584.14,457,18.849081357636045,0.1403562653562653,3.930009290802106
RS,5345,728897.47,382,14.814043407760998,0.0714686623012161,4.18575183029848
SC,3546,507012.13,346,14.487329594117524,0.0975747320924985,4.133276499005399
PR,4923,666063.51,246,11.538129619755344,0.0499695307739183,4.239591836734694
ES,1995,268643.45,244,15.347736998746868,0.1223057644110275,4.079735906551549
CE,1279,219757.38,196,20.79841177983539,0.1532447224394058,3.941869599371563
PE,1593,251889.49,172,18.002682605903143,0.1079723791588198,4.082963901203294
GO,1957,282836.7,160,15.080868481377392,0.0817577925396014,4.10431654676259
DF,2080,296498.41,147,12.541091691150283,0.0706730769230769,4.133816425120773
MA,717,117009.38,141,21.006707580048623,0.1966527196652719,3.833567415730337
PA,946,174470.59,117,23.262768393724063,0.1236786469344608,3.909967845659164
AL,397,78855.72,95,24.055106411512263,0.2392947103274559,3.8527918781725887
MS,701,115429.97,81,15.177842070851163,0.115549215406562,4.160228898426324
PI,476,84721.0,76,19.03662693549642,0.1596638655462184,3.993630573248408
MT,886,152191.62,60,17.494554215262102,0.0677200902934537,4.146188850967008
PB,517,112586.82,57,19.838114903467297,0.1102514506769826,4.076171875
SE,335,56574.19,51,21.09900234936429,0.1522388059701492,3.907185628742515
RN,474,82105.66,51,18.818791217377715,0.1075949367088607,4.149681528662421
TO,274,48402.51,35,17.1152064747229,0.1277372262773722,4.153846153846154
RO,243,45682.76,7,18.815148176726108,0.0288065843621399,4.1652892561983474
AM,145,22155.84,6,26.019246567688377,0.0413793103448275,4.243055555555555
AC,80,15930.97,3,20.403652922453706,0.0375,4.0875
AP,67,13374.81,3,26.545580431177445,0.044776119402985,4.242424242424242
RR,41,7057.47,5,28.992036754742543,0.1219512195121951,3.902439024390244
